,Tokens,Occurences
385,andromeda,"[('T1.txt', 2)]"
386,trace,"[('T1.txt', 1), ('T3.txt', 4), ('T6.txt', 1), ('T7.txt', 5), ('T8.txt', 1), ('T10.txt', 1)]"
387,shift,"[('T1.txt', 3), ('T2.txt', 1), ('T6.txt', 1)]"
388,sternli,"[('T10.txt', 1)]"
389,rabbit,"[('T8.txt', 1)]"
390,accord,"[('T2.txt', 1), ('T6.txt', 4), ('T7.txt', 1), ('T9.txt', 1), ('T10.txt', 2)]"
391,degeneraci,"[('T7.txt', 1)]"
392,outcom,"[('T1.txt', 3), ('T6.txt', 3), ('T7.txt', 1), ('T8.txt', 1), ('T9.txt', 1)]"
393,must,"[('T1.txt', 8), ('T2.txt', 6), ('T3.txt', 9), ('T4.txt', 6), ('T5.txt', 1), ('T6.txt', 9), ('T7.txt', 16), ('T8.txt', 2), ('T9.txt', 2), ('T10.txt', 22)]"
394,_when,"[('T10.txt', 1)]"
395,author,"[('T1.txt', 1), ('T3.txt', 1), ('T6.txt', 1), ('T9.txt', 2), ('T10.txt', 1)]"
396,anywher,"[('T1.txt', 2), ('T10.txt', 1)]"
397,birth,"[('T1.txt', 1), ('T4.txt', 1), ('T5.txt', 3), ('T6.txt', 2), ('T7.txt', 1)]"
398,partridg,"[('T8.txt', 1)]"
399,distinct,"[('T1.txt', 1), ('T2.txt', 4), ('T4.txt', 1), ('T5.txt', 1), ('T6.txt', 5), ('T7.txt', 2), ('T9.txt', 4)]"
400,roll,"[('T7.txt', 1), ('T9.txt', 1)]"
401,278,"[('T1.txt', 1)]"
402,feminin,"[('T6.txt', 3)]"
403,slight,"[('T3.txt', 1), ('T7.txt', 2), ('T9.txt', 1)]"
404,manufactur,"[('T6.txt', 5)]"
405,altamira,"[('T1.txt', 2)]"
406,rifl,"[('T9.txt', 1)]"
407,45,"[('T1.txt', 1)]"
408,conjug,"[('T8.txt', 1)]"
409,kill,"[('T1.txt', 1), ('T6.txt', 1), ('T9.txt', 1)]"
410,pterosaur,"[('T7.txt', 1)]"
411,tend,"[('T3.txt', 1), ('T5.txt', 1), ('T7.txt', 7), ('T10.txt', 4)]"
412,somehow,"[('T2.txt', 1), ('T5.txt', 1), ('T6.txt', 1), ('T10.txt', 1)]"
413,indistinguish,"[('T6.txt', 1)]"
414,ductless,"[('T1.txt', 1)]"
415,expuls,"[('T1.txt', 1)]"
416,slip,"[('T7.txt', 3), ('T8.txt', 1)]"
417,uppermost,"[('T1.txt', 1), ('T2.txt', 1)]"
418,obtain,"[('T1.txt', 1), ('T5.txt', 2), ('T9.txt', 2), ('T10.txt', 5)]"
419,detail,"[('T2.txt', 1), ('T7.txt', 1), ('T9.txt', 1)]"
420,_astronomy_,"[('T5.txt', 1)]"
421,mississippi,"[('T10.txt', 1)]"
422,omit,"[('T9.txt', 2)]"
423,oppos,"[('T7.txt', 1)]"
424,158,"[('T1.txt', 1)]"
425,_c_,"[('T6.txt', 2), ('T7.txt', 2)]"
426,central,"[('T1.txt', 4), ('T3.txt', 1), ('T4.txt', 2), ('T5.txt', 3), ('T6.txt', 2), ('T7.txt', 2), ('T9.txt', 2)]"
427,manifold,"[('T6.txt', 1), ('T7.txt', 1)]"
428,wyom,"[('T7.txt', 1)]"
429,hollow,"[('T1.txt', 1)]"
430,shuffl,"[('T7.txt', 1)]"
431,despair,"[('T10.txt', 1)]"
432,reproduct,"[('T6.txt', 10), ('T7.txt', 3)]"
433,whatsoev,"[('T1.txt', 1), ('T10.txt', 1)]"
434,supplement,"[('T1.txt', 1)]"
435,slime,"[('T7.txt', 1)]"
436,payment,"[('T10.txt', 3)]"
437,alaska,"[('T7.txt', 1)]"
438,sagaci,"[('T7.txt', 1)]"
439,transfer,"[('T9.txt', 1)]"
440,allow,"[('T2.txt', 2), ('T5.txt', 2), ('T6.txt', 2), ('T7.txt', 2), ('T10.txt', 2)]"
441,_field,"[('T5.txt', 1)]"
442,counteract,"[('T7.txt', 2)]"
443,grain,"[('T7.txt', 1), ('T9.txt', 3)]"
444,undulatori,"[('T6.txt', 1)]"
445,amarus_,"[('T1.txt', 1)]"
446,gulf,"[('T6.txt', 2)]"
447,standstil,"[('T10.txt', 1)]"
448,older,"[('T3.txt', 1), ('T4.txt', 1), ('T7.txt', 2)]"
449,add,"[('T9.txt', 1)]"
450,bite,"[('T6.txt', 1)]"
451,reshuffl,"[('T7.txt', 1)]"
452,aurora,"[('T1.txt', 1), ('T2.txt', 3), ('T4.txt', 1)]"
453,mendel,"[('T1.txt', 2)]"
454,fulli,"[('T2.txt', 1), ('T3.txt', 1), ('T7.txt', 1), ('T9.txt', 1), ('T10.txt', 2)]"
455,convolut,"[('T6.txt', 1)]"
456,leopard,"[('T1.txt', 1)]"
457,coloni,"[('T1.txt', 8), ('T6.txt', 7), ('T7.txt', 2)]"
458,carey,"[('T1.txt', 1)]"
459,connect,"[('T2.txt', 4), ('T6.txt', 3), ('T7.txt', 1), ('T9.txt', 3), ('T10.txt', 1)]"
460,finder,"[('T5.txt', 1)]"
461,protrus,"[('T7.txt', 1)]"
462,hinkin,"[('T1.txt', 1), ('T8.txt', 1)]"
463,amount,"[('T1.txt', 1), ('T2.txt', 2), ('T3.txt', 1), ('T5.txt', 5), ('T6.txt', 2), ('T7.txt', 4), ('T8.txt', 2), ('T9.txt', 4), ('T10.txt', 1)]"
464,ration,"[('T6.txt', 1), ('T7.txt', 1)]"
465,beset,"[('T6.txt', 1)]"
466,benefactress,"[('T8.txt', 1)]"
467,_bi,"[('T5.txt', 1)]"
468,121,"[('T1.txt', 2)]"
469,conceiv,"[('T3.txt', 1), ('T5.txt', 1), ('T9.txt', 1), ('T10.txt', 1)]"
470,144,"[('T1.txt', 2)]"
471,discontinu,"[('T10.txt', 1)]"
472,gatepost,"[('T1.txt', 1)]"
473,farthest,"[('T4.txt', 1)]"
474,particularli,"[('T1.txt', 1), ('T7.txt', 3), ('T9.txt', 1), ('T10.txt', 1)]"
475,dazzl,"[('T1.txt', 1)]"
476,seiz,"[('T1.txt', 2), ('T4.txt', 1), ('T8.txt', 2)]"
477,georg,"[('T10.txt', 1)]"
478,flat,"[('T7.txt', 2)]"
479,192,"[('T1.txt', 2)]"
480,100,"[('T1.txt', 5), ('T4.txt', 1), ('T5.txt', 2), ('T6.txt', 1)]"
481,distanc,"[('T1.txt', 26), ('T2.txt', 2), ('T3.txt', 2), ('T4.txt', 4), ('T5.txt', 9), ('T6.txt', 1), ('T7.txt', 1), ('T8.txt', 1), ('T9.txt', 12), ('T10.txt', 1)]"
482,call,"[('T1.txt', 14), ('T2.txt', 7), ('T3.txt', 2), ('T4.txt', 2), ('T5.txt', 2), ('T6.txt', 21), ('T7.txt', 19), ('T8.txt', 6), ('T9.txt', 14), ('T10.txt', 2)]"
483,upset,"[('T9.txt', 1)]"
484,10,"[('T1.txt', 4), ('T2.txt', 2), ('T5.txt', 2), ('T6.txt', 1), ('T9.txt', 2)]"
485,_pleistocene_,"[('T7.txt', 1)]"
486,stock,"[('T1.txt', 1), ('T6.txt', 2), ('T7.txt', 8)]"
487,biggest,"[('T6.txt', 1)]"
488,circuit,"[('T1.txt', 1), ('T9.txt', 5)]"
489,weaker,"[('T7.txt', 1)]"
490,detach,"[('T9.txt', 1), ('T10.txt', 1)]"
491,117,"[('T1.txt', 2)]"
492,remov,"[('T10.txt', 3)]"
493,conced,"[('T5.txt', 1)]"
494,disentangl,"[('T5.txt', 1)]"
495,trypanosom,"[('T6.txt', 3)]"
496,heretofor,"[('T1.txt', 1)]"
497,_lost,"[('T7.txt', 1)]"
498,_transform,"[('T7.txt', 1)]"
499,host,"[('T6.txt', 3), ('T7.txt', 4)]"
500,god,"[('T7.txt', 1), ('T9.txt', 1)]"
501,flipper,"[('T1.txt', 1), ('T7.txt', 1)]"
502,snow,"[('T3.txt', 2), ('T7.txt', 2)]"
503,yet,"[('T1.txt', 6), ('T2.txt', 1), ('T3.txt', 2), ('T4.txt', 2), ('T5.txt', 4), ('T6.txt', 3), ('T7.txt', 3), ('T8.txt', 1), ('T9.txt', 3), ('T10.txt', 2)]"
504,embodi,"[('T7.txt', 2)]"
505,evolutionist,"[('T1.txt', 1), ('T7.txt', 2)]"
506,mount,"[('T1.txt', 6), ('T2.txt', 3), ('T4.txt', 1), ('T5.txt', 9), ('T9.txt', 1)]"
507,orbit,"[('T1.txt', 6), ('T6.txt', 1), ('T9.txt', 3)]"
508,asymmetr,"[('T7.txt', 1)]"
509,impur,"[('T7.txt', 1)]"
510,inorgan,"[('T1.txt', 1), ('T6.txt', 2), ('T9.txt', 5)]"
511,paddl,"[('T7.txt', 2)]"
512,harmoni,"[('T1.txt', 1), ('T7.txt', 1)]"
513,orderli,"[('T7.txt', 1)]"
514,aros,"[('T7.txt', 2)]"
515,prepar,"[('T5.txt', 1), ('T6.txt', 2), ('T9.txt', 1), ('T10.txt', 2)]"
516,bright,"[('T1.txt', 1), ('T2.txt', 6), ('T3.txt', 2), ('T4.txt', 1), ('T5.txt', 2)]"
517,treat,"[('T5.txt', 1)]"
518,weak,"[('T8.txt', 1)]"
519,proofread,"[('T1.txt', 1), ('T10.txt', 2)]"
520,shall,"[('T1.txt', 5), ('T2.txt', 1), ('T5.txt', 1), ('T7.txt', 1), ('T9.txt', 5), ('T10.txt', 4)]"
521,cylind,"[('T6.txt', 1)]"
522,erupt,"[('T2.txt', 1)]"
523,wisp,"[('T4.txt', 1)]"
524,luxuri,"[('T7.txt', 1)]"
525,actual,"[('T1.txt', 3), ('T2.txt', 2), ('T3.txt', 1), ('T4.txt', 2), ('T5.txt', 2), ('T7.txt', 1), ('T8.txt', 1), ('T9.txt', 2), ('T10.txt', 5)]"
526,exceed,"[('T6.txt', 1)]"
527,153,"[('T1.txt', 1)]"
528,interv,"[('T2.txt', 1), ('T8.txt', 1)]"
529,heap,"[('T10.txt', 1)]"
530,52,"[('T9.txt', 1)]"
531,1924_,"[('T1.txt', 1)]"
532,heidelberg,"[('T1.txt', 2)]"
533,glad,"[('T8.txt', 1)]"
534,assist,"[('T6.txt', 1), ('T10.txt', 1)]"
535,crayfish,"[('T8.txt', 1)]"
536,bill,"[('T1.txt', 8), ('T7.txt', 2), ('T8.txt', 4), ('T9.txt', 1)]"
537,moulton,"[('T6.txt', 1)]"
538,root,"[('T1.txt', 1), ('T6.txt', 3)]"
539,enabl,"[('T1.txt', 2), ('T2.txt', 2), ('T5.txt', 2), ('T6.txt', 1), ('T7.txt', 2), ('T9.txt', 2)]"
540,opteryx,"[('T1.txt', 1), ('T7.txt', 2)]"
541,major,"[('T5.txt', 1), ('T6.txt', 5)]"
542,iron,"[('T2.txt', 2), ('T3.txt', 1), ('T4.txt', 3), ('T7.txt', 2), ('T9.txt', 10), ('T10.txt', 3)]"
543,indirectli,"[('T9.txt', 1), ('T10.txt', 1)]"
544,allantoi,"[('T7.txt', 2)]"
545,_unavailable_,"[('T9.txt', 1), ('T10.txt', 1)]"
546,600,"[('T5.txt', 2), ('T9.txt', 1)]"
547,gaboon,"[('T1.txt', 1)]"
548,defici,"[('T9.txt', 1)]"
549,_______________________________________________________________________,"[('T7.txt', 7)]"
550,_reproduc,"[('T6.txt', 5), ('T9.txt', 2)]"
551,pond,"[('T6.txt', 3), ('T7.txt', 1), ('T9.txt', 1)]"
552,nich,"[('T7.txt', 1)]"
553,unavail,"[('T10.txt', 5)]"
554,germ,"[('T1.txt', 1), ('T6.txt', 8), ('T7.txt', 4)]"
555,ps,"[('T6.txt', 1)]"
556,revers,"[('T1.txt', 1), ('T2.txt', 1), ('T6.txt', 1)]"
557,theoret,"[('T9.txt', 1), ('T10.txt', 2)]"
558,pave,"[('T6.txt', 1)]"
559,incalcul,"[('T4.txt', 1)]"
560,least,"[('T1.txt', 2), ('T3.txt', 2), ('T4.txt', 2), ('T5.txt', 2), ('T7.txt', 4), ('T9.txt', 2)]"
561,frozen,"[('T3.txt', 1), ('T4.txt', 1), ('T7.txt', 1)]"
562,langur,"[('T8.txt', 1)]"
563,thousand,"[('T1.txt', 4), ('T2.txt', 5), ('T3.txt', 2), ('T4.txt', 8), ('T5.txt', 4), ('T6.txt', 5), ('T9.txt', 3), ('T10.txt', 1)]"
564,combin,"[('T2.txt', 1), ('T3.txt', 1), ('T7.txt', 1), ('T8.txt', 1), ('T9.txt', 1), ('T10.txt', 1)]"
565,heavier,"[('T6.txt', 2), ('T9.txt', 3)]"
566,counterbal,"[('T10.txt', 1)]"
567,doubt,"[('T1.txt', 1), ('T2.txt', 2), ('T6.txt', 2), ('T7.txt', 3), ('T8.txt', 3), ('T9.txt', 1), ('T10.txt', 1)]"
568,221,"[('T1.txt', 1)]"
569,photosynthesi,"[('T6.txt', 3)]"
570,lithograph,"[('T7.txt', 1)]"
571,protozoa,"[('T6.txt', 12)]"
572,messr,"[('T1.txt', 3)]"
573,_colour,"[('T1.txt', 12)]"
574,joint,"[('T7.txt', 3)]"
575,disguis,"[('T1.txt', 1)]"
576,right,"[('T1.txt', 1), ('T2.txt', 1), ('T3.txt', 1), ('T5.txt', 3), ('T6.txt', 3), ('T7.txt', 3), ('T8.txt', 2), ('T9.txt', 3), ('T10.txt', 4)]"
577,articl,"[('T1.txt', 4)]"
578,insul,"[('T9.txt', 2)]"
579,notion,"[('T9.txt', 1), ('T10.txt', 2)]"
580,dullest,"[('T5.txt', 1)]"
581,anthropoid,"[('T1.txt', 1), ('T7.txt', 2)]"
582,tell,"[('T1.txt', 3), ('T2.txt', 1), ('T4.txt', 1), ('T7.txt', 7), ('T9.txt', 4)]"
583,seek,"[('T1.txt', 1), ('T7.txt', 1)]"
584,agassiz,"[('T6.txt', 1)]"
585,burn,"[('T2.txt', 2), ('T4.txt', 1), ('T6.txt', 1), ('T9.txt', 4)]"
586,_heat,"[('T9.txt', 1)]"
587,stereotyp,"[('T7.txt', 1), ('T8.txt', 1)]"
588,hoof,"[('T7.txt', 2)]"
589,pedigre,"[('T1.txt', 1), ('T7.txt', 3)]"
590,aberdeen,"[('T1.txt', 1)]"
591,smithsonian,"[('T1.txt', 5), ('T6.txt', 3), ('T8.txt', 1), ('T9.txt', 1)]"
592,stuff,"[('T1.txt', 1), ('T3.txt', 1), ('T4.txt', 1), ('T8.txt', 1), ('T9.txt', 1)]"
593,planetoid,"[('T3.txt', 1), ('T4.txt', 1)]"
594,shrew,"[('T7.txt', 1)]"
595,instruct,"[('T1.txt', 1), ('T3.txt', 1), ('T7.txt', 1), ('T8.txt', 1)]"
596,pithecanthropu,"[('T1.txt', 3)]"
597,radiolarian,"[('T6.txt', 1), ('T7.txt', 1)]"
598,sunk,"[('T7.txt', 1), ('T9.txt', 1)]"
599,uniqu,"[('T2.txt', 1), ('T6.txt', 1)]"
600,curios,"[('T7.txt', 2)]"
601,molten,"[('T4.txt', 1), ('T5.txt', 1), ('T6.txt', 1)]"
602,underli,"[('T1.txt', 1)]"
603,_coloured_,"[('T7.txt', 1)]"
604,alpha,"[('T1.txt', 1), ('T5.txt', 1), ('T9.txt', 2)]"
605,signific,"[('T2.txt', 1), ('T6.txt', 1), ('T7.txt', 3), ('T8.txt', 1)]"
606,reli,"[('T3.txt', 1)]"
607,indet,"[('T8.txt', 1)]"
608,104,"[('T1.txt', 1)]"
609,climax,"[('T7.txt', 4), ('T8.txt', 3)]"
610,practic,"[('T1.txt', 1), ('T2.txt', 2), ('T5.txt', 1), ('T6.txt', 1), ('T7.txt', 5), ('T9.txt', 4), ('T10.txt', 1)]"
611,fowl,"[('T6.txt', 1)]"
612,descent,"[('T7.txt', 1)]"
613,heir,"[('T2.txt', 1)]"
614,kangaroo,"[('T1.txt', 1), ('T7.txt', 1)]"
615,_that,"[('T6.txt', 1)]"
616,obdur,"[('T2.txt', 1)]"
617,morley,"[('T10.txt', 1)]"
618,cog,"[('T9.txt', 1)]"
619,behaviour,"[('T1.txt', 2), ('T6.txt', 11), ('T7.txt', 17), ('T8.txt', 10)]"
620,inachis_,"[('T1.txt', 1)]"
621,j,"[('T1.txt', 45), ('T5.txt', 2), ('T6.txt', 11), ('T7.txt', 2), ('T9.txt', 5), ('T10.txt', 4)]"
622,precis,"[('T1.txt', 2), ('T4.txt', 2), ('T5.txt', 3), ('T7.txt', 1), ('T9.txt', 1), ('T10.txt', 1)]"
623,rischgitz,"[('T1.txt', 4), ('T6.txt', 2), ('T7.txt', 1)]"
624,flush,"[('T9.txt', 1)]"
625,25,"[('T1.txt', 2), ('T4.txt', 1), ('T5.txt', 1), ('T9.txt', 2)]"
626,exempt,"[('T6.txt', 1), ('T10.txt', 2)]"
627,tubular,"[('T6.txt', 1)]"
628,146,"[('T1.txt', 2)]"
629,accuraci,"[('T1.txt', 1), ('T5.txt', 2)]"
630,hoar,"[('T3.txt', 1)]"
631,vestig,"[('T7.txt', 3)]"
632,inquisit,"[('T8.txt', 1)]"
633,core,"[('T1.txt', 1), ('T3.txt', 1), ('T8.txt', 2)]"
634,spoonbil,"[('T1.txt', 1)]"
635,conjunct,"[('T9.txt', 1)]"
636,wilkinson,"[('T1.txt', 1)]"
637,remark,"[('T1.txt', 3), ('T3.txt', 1), ('T4.txt', 1), ('T5.txt', 2), ('T6.txt', 1), ('T7.txt', 4), ('T8.txt', 1), ('T9.txt', 2), ('T10.txt', 1)]"
638,beak,"[('T8.txt', 1)]"
639,hierarchi,"[('T7.txt', 1)]"
640,_extinct,"[('T7.txt', 1)]"
641,abdomin,"[('T7.txt', 1)]"
642,love,"[('T7.txt', 1)]"
643,introductori,"[('T1.txt', 1), ('T6.txt', 1)]"
644,fan,"[('T2.txt', 1)]"
645,format,"[('T2.txt', 2), ('T4.txt', 1), ('T5.txt', 1), ('T6.txt', 4), ('T7.txt', 1), ('T10.txt', 8)]"
646,robe,"[('T9.txt', 1)]"
647,open,"[('T1.txt', 8), ('T6.txt', 4), ('T7.txt', 10), ('T8.txt', 3)]"
648,bipe,"[('T1.txt', 1), ('T7.txt', 2)]"
649,sceneri,"[('T4.txt', 1)]"
650,skin,"[('T4.txt', 1), ('T6.txt', 1), ('T7.txt', 7)]"
651,heavens_,"[('T5.txt', 1)]"
652,globul,"[('T6.txt', 1)]"
653,clearer,"[('T6.txt', 2)]"
654,belief,"[('T2.txt', 1), ('T3.txt', 1)]"
655,enthusiast,"[('T1.txt', 1)]"
656,demonstr,"[('T8.txt', 1)]"
657,stream,"[('T1.txt', 2), ('T2.txt', 2), ('T4.txt', 2), ('T5.txt', 5), ('T7.txt', 1), ('T8.txt', 1), ('T9.txt', 2), ('T10.txt', 3)]"
658,enregistr,"[('T7.txt', 1)]"
659,perrin,"[('T10.txt', 1)]"
660,ungrat,"[('T1.txt', 1)]"
661,tenth,"[('T1.txt', 1)]"
662,pituitari,"[('T1.txt', 1)]"
663,thunder,"[('T7.txt', 1)]"
664,caus,"[('T1.txt', 3), ('T2.txt', 1), ('T5.txt', 2), ('T6.txt', 3), ('T9.txt', 4), ('T10.txt', 8)]"
665,make,"[('T1.txt', 8), ('T2.txt', 6), ('T3.txt', 1), ('T4.txt', 2), ('T5.txt', 5), ('T6.txt', 16), ('T7.txt', 18), ('T8.txt', 8), ('T9.txt', 11), ('T10.txt', 13)]"
666,consequenti,"[('T10.txt', 1)]"
667,red,"[('T1.txt', 6), ('T2.txt', 6), ('T3.txt', 4), ('T4.txt', 11), ('T5.txt', 1), ('T7.txt', 4), ('T8.txt', 2), ('T9.txt', 11)]"
668,1910,"[('T2.txt', 1)]"
669,network,"[('T1.txt', 1), ('T6.txt', 1), ('T7.txt', 1), ('T10.txt', 1)]"
670,night,"[('T1.txt', 4), ('T4.txt', 4), ('T5.txt', 3), ('T6.txt', 3), ('T7.txt', 2), ('T8.txt', 1)]"
671,incred,"[('T1.txt', 1), ('T9.txt', 1)]"
672,olcott,"[('T5.txt', 1)]"
673,flagella,"[('T6.txt', 1)]"
674,origin,"[('T1.txt', 6), ('T2.txt', 2), ('T3.txt', 1), ('T4.txt', 3), ('T6.txt', 17), ('T7.txt', 10), ('T9.txt', 3), ('T10.txt', 6)]"
675,parachut,"[('T7.txt', 3)]"
676,telescopes_,"[('T5.txt', 1)]"
677,absorb,"[('T2.txt', 2), ('T5.txt', 2), ('T7.txt', 2), ('T9.txt', 2), ('T10.txt', 1)]"
678,financi,"[('T10.txt', 1)]"
679,insectivor,"[('T6.txt', 1), ('T7.txt', 1)]"
680,carbon,"[('T6.txt', 6), ('T9.txt', 2)]"
681,solut,"[('T1.txt', 2), ('T3.txt', 1), ('T7.txt', 2)]"
682,stabl,"[('T6.txt', 3), ('T7.txt', 2)]"
683,confin,"[('T6.txt', 1), ('T9.txt', 1)]"
684,nautilu,"[('T1.txt', 4)]"
685,fresh,"[('T1.txt', 2), ('T7.txt', 1), ('T9.txt', 2)]"
686,discuss,"[('T5.txt', 1), ('T9.txt', 1), ('T10.txt', 2)]"
687,perceiv,"[('T5.txt', 1), ('T9.txt', 2)]"
688,address,"[('T10.txt', 2)]"
689,paloloworm,"[('T6.txt', 1)]"
690,triassic,"[('T1.txt', 1), ('T7.txt', 9)]"
691,opposit,"[('T1.txt', 1), ('T2.txt', 1), ('T3.txt', 1), ('T4.txt', 2), ('T5.txt', 1), ('T9.txt', 2), ('T10.txt', 1)]"
692,dragon,"[('T1.txt', 2), ('T7.txt', 5)]"
693,last,"[('T1.txt', 3), ('T2.txt', 1), ('T3.txt', 1), ('T5.txt', 2), ('T7.txt', 7), ('T9.txt', 3)]"
694,indiffer,"[('T8.txt', 1)]"
695,gregori,"[('T10.txt', 1)]"
696,encyclop,"[('T1.txt', 1)]"
697,harri,"[('T6.txt', 1)]"
698,entranc,"[('T1.txt', 1)]"
699,viscer,"[('T7.txt', 1)]"
700,reject,"[('T8.txt', 1)]"
701,precursor,"[('T7.txt', 1)]"
702,vehicl,"[('T6.txt', 1), ('T7.txt', 2), ('T10.txt', 1)]"
703,3030,"[('T5.txt', 1)]"
704,yellow,"[('T1.txt', 2), ('T2.txt', 2), ('T4.txt', 2), ('T7.txt', 1), ('T9.txt', 1)]"
705,easier,"[('T5.txt', 1), ('T6.txt', 1), ('T7.txt', 1), ('T10.txt', 1)]"
706,peculiarli,"[('T6.txt', 1)]"
707,widen,"[('T1.txt', 2)]"
708,carpet,"[('T1.txt', 1)]"
709,featur,"[('T1.txt', 4), ('T5.txt', 1), ('T6.txt', 2), ('T7.txt', 2)]"
710,keel,"[('T7.txt', 2)]"
711,lash,"[('T6.txt', 3)]"
712,proterospongia,"[('T1.txt', 1), ('T6.txt', 1)]"
713,sign,"[('T3.txt', 1)]"
714,life,"[('T1.txt', 23), ('T2.txt', 1), ('T3.txt', 22), ('T4.txt', 2), ('T6.txt', 29), ('T7.txt', 37), ('T8.txt', 5), ('T9.txt', 5), ('T10.txt', 2)]"
715,wireless,"[('T9.txt', 1)]"
716,anyth,"[('T1.txt', 1), ('T4.txt', 1), ('T9.txt', 1), ('T10.txt', 2)]"
717,will,"[('T1.txt', 1), ('T6.txt', 1), ('T7.txt', 1), ('T8.txt', 1)]"
718,endur,"[('T3.txt', 1)]"
719,familiarli,"[('T7.txt', 1)]"
720,begun,"[('T6.txt', 1), ('T7.txt', 1), ('T8.txt', 1)]"
721,_distance_,"[('T10.txt', 1)]"
722,renam,"[('T10.txt', 1)]"
723,166,"[('T1.txt', 2)]"
724,wood,"[('T8.txt', 3), ('T9.txt', 4)]"
725,experiment,"[('T1.txt', 2), ('T7.txt', 2), ('T9.txt', 2)]"
726,london,"[('T1.txt', 1), ('T3.txt', 1), ('T10.txt', 1)]"
727,deterior,"[('T6.txt', 1)]"
728,respiratori,"[('T7.txt', 1)]"
729,intellig,"[('T1.txt', 7), ('T3.txt', 2), ('T5.txt', 1), ('T6.txt', 5), ('T7.txt', 17), ('T8.txt', 20)]"
730,american,"[('T4.txt', 1), ('T9.txt', 1)]"
731,49,"[('T1.txt', 2), ('T5.txt', 1)]"
732,speed,"[('T1.txt', 5), ('T2.txt', 6), ('T3.txt', 1), ('T4.txt', 1), ('T5.txt', 1), ('T6.txt', 1), ('T9.txt', 15), ('T10.txt', 1)]"
733,trypanosoma,"[('T1.txt', 1), ('T6.txt', 1)]"
734,_ordovician_,"[('T7.txt', 2)]"
735,venu,"[('T1.txt', 4), ('T3.txt', 6), ('T5.txt', 1), ('T6.txt', 2)]"
736,result,"[('T1.txt', 2), ('T2.txt', 1), ('T3.txt', 1), ('T4.txt', 1), ('T5.txt', 2), ('T6.txt', 10), ('T7.txt', 4), ('T8.txt', 1), ('T9.txt', 6), ('T10.txt', 4)]"
737,du,"[('T5.txt', 1)]"
738,bee,"[('T6.txt', 1), ('T7.txt', 2), ('T8.txt', 7)]"
739,identifi,"[('T1.txt', 1), ('T2.txt', 5), ('T10.txt', 1)]"
740,sal,"[('T9.txt', 1)]"
741,live,"[('T1.txt', 7), ('T5.txt', 2), ('T6.txt', 47), ('T7.txt', 28), ('T8.txt', 2), ('T9.txt', 1), ('T10.txt', 2)]"
742,admittedli,"[('T6.txt', 1)]"
743,pelag,"[('T1.txt', 1), ('T7.txt', 2)]"
744,dint,"[('T6.txt', 2)]"
745,elliot,"[('T1.txt', 1)]"
746,fertilis,"[('T6.txt', 11), ('T7.txt', 7)]"
747,tubercl,"[('T7.txt', 1)]"
748,lech,"[('T1.txt', 1), ('T7.txt', 1)]"
749,everyth,"[('T2.txt', 1), ('T6.txt', 3), ('T7.txt', 1), ('T9.txt', 2)]"
750,shallow,"[('T4.txt', 1), ('T6.txt', 1), ('T7.txt', 3), ('T8.txt', 1)]"
751,doubtless,"[('T6.txt', 1), ('T7.txt', 1), ('T8.txt', 1), ('T9.txt', 1), ('T10.txt', 1)]"
752,113,"[('T1.txt', 1)]"
753,photospher,"[('T1.txt', 4), ('T2.txt', 11)]"
754,0,"[('T1.txt', 28), ('T2.txt', 4), ('T3.txt', 5), ('T4.txt', 3), ('T5.txt', 5), ('T6.txt', 2), ('T9.txt', 15), ('T10.txt', 4)]"
755,bristl,"[('T6.txt', 1)]"
756,solicit,"[('T10.txt', 3)]"
757,engrav,"[('T1.txt', 1)]"
758,hereditari,"[('T7.txt', 4), ('T8.txt', 3)]"
759,quickli,"[('T6.txt', 1), ('T7.txt', 1), ('T8.txt', 1)]"
760,pelican,"[('T1.txt', 1)]"
761,hope,"[('T1.txt', 1), ('T4.txt', 1), ('T9.txt', 1), ('T10.txt', 1)]"
762,cach,"[('T8.txt', 2)]"
763,serv,"[('T6.txt', 2), ('T7.txt', 2), ('T9.txt', 1)]"
764,pursu,"[('T5.txt', 1), ('T6.txt', 5)]"
765,120,"[('T1.txt', 4)]"
766,fluid,"[('T2.txt', 1), ('T3.txt', 1), ('T6.txt', 2), ('T7.txt', 1), ('T9.txt', 3), ('T10.txt', 1)]"
767,_chiasmodon,"[('T1.txt', 1)]"
768,pour,"[('T2.txt', 1), ('T9.txt', 2)]"
769,defenc,"[('T7.txt', 1)]"
770,exclus,"[('T10.txt', 1)]"
771,addresses_,"[('T10.txt', 1)]"
772,_we,"[('T9.txt', 1)]"
773,coin,"[('T6.txt', 1), ('T9.txt', 1)]"
774,thread,"[('T1.txt', 1), ('T9.txt', 3)]"
775,herd,"[('T7.txt', 1)]"
776,pick,"[('T8.txt', 4), ('T9.txt', 1)]"
777,decay,"[('T7.txt', 1)]"
778,henc,"[('T3.txt', 1), ('T4.txt', 1), ('T6.txt', 1), ('T7.txt', 1), ('T9.txt', 1)]"
779,tower,"[('T1.txt', 1)]"
780,punit,"[('T10.txt', 1)]"
781,controversi,"[('T3.txt', 1), ('T4.txt', 1), ('T5.txt', 1)]"
782,flux,"[('T7.txt', 1), ('T10.txt', 1)]"
